0	0
32	32
128	128
160	160
192	192
224	224
256	256
288	288
320	320
320	27526
384	384
416	416
448	448
544	544
576	576
608	608
640	640
672	672
736	736
768	768
800	800
800	801
800	7841
800	2346
800	12557
800	2198
800	2199
800	3836
832	832
864	864
896	896
928	928
960	960
992	992
1024	1024
1056	1056
1088	1088
1120	1120
1184	1184
1248	1248
1280	1280
1280	23615
1280	23616
1280	23617
1280	20663
1312	1312
1344	1344
1376	1376
1408	1408
1440	1440
1504	1504
1536	1536
1568	1568
1600	1600
1632	1632
1664	1664
1696	1696
1760	1760
1792	1792
1824	1824
1888	1888
1920	1920
1952	1952
1984	1984
2016	2016
2080	2080
2080	9668
2080	7440
2112	2112
2144	2144
2176	2176
2208	2208
2240	2240
2272	2272
2336	2336
2400	2400
2432	2432
2464	2464
2496	2496
2560	2560
2592	2592
2624	2624
2656	2656
2687	2687
2687	14566
2719	2719
2751	2751
2879	2879
2879	5413
2943	2943
2943	12321
2943	28292
2943	8080
2943	11280
2943	12688
2943	31668
2943	26710
2975	2975
3007	3007
3103	3103
3103	2675
3103	5558
3135	3135
3167	3167
9599	9599
9663	9663
9727	9727
9759	9759
9791	9791
9823	9823
9855	9855
9887	9887
9951	9951
9983	9983
9983	12239
9983	5399
9983	5400
10111	10111
10143	10143
10207	10207
10271	10271
10303	10303
10335	10335
10399	10399
10431	10431
10463	10463
10495	10495
10527	10527
10559	10559
10591	10591
10623	10623
10655	10655
10687	10687
10719	10719
10719	8201
10719	2522
10719	5487
10751	10751
10783	10783
10879	10879
10879	10528
10879	27010
10879	33767
10879	31464
10879	27626
10879	1682
10879	1685
10879	31348
10879	1687
10879	30326
10879	1689
10879	3385
10911	10911
10911	10255
10911	12467
10943	10943
10943	12740
10975	10975
11007	11007
11039	11039
11071	11071
11103	11103
11135	11135
11167	11167
11231	11231
11263	11263
11295	11295
11295	27872
11295	28069
11327	11327
11359	11359
11391	11391
11455	11455
11519	11519
11551	11551
11583	11583
11615	11615
11679	11679
11711	11711
11743	11743
11743	380
11743	11742
11775	11775
11807	11807
11807	5439
11839	11839
11839	22197
11871	11871
11903	11903
11935	11935
11999	11999
12031	12031
12063	12063
12127	12127
12159	12159
12191	12191
12223	12223
12255	12255
12319	12319
12351	12351
12383	12383
12415	12415
12447	12447
12479	12479
12543	12543
12575	12575
12575	704
12703	12703
12735	12735
12767	12767
19199	19199
19231	19231
19263	19263
19327	19327
19359	19359
19391	19391
19423	19423
19455	19455
19487	19487
